timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/05/11 20:19:14.571, 14087 MiB, 16303 MiB, 99 %, 83, 159.02 W
2026/05/11 20:19:19.571, 14087 MiB, 16303 MiB, 99 %, 82, 157.83 W
2026/05/11 20:19:24.572, 14087 MiB, 16303 MiB, 99 %, 83, 158.77 W
2026/05/11 20:19:29.572, 14087 MiB, 16303 MiB, 99 %, 82, 155.00 W
2026/05/11 20:19:34.573, 14087 MiB, 16303 MiB, 99 %, 83, 159.06 W
2026/05/11 20:19:39.573, 14087 MiB, 16303 MiB, 97 %, 83, 158.87 W
2026/05/11 20:19:44.574, 14087 MiB, 16303 MiB, 99 %, 83, 158.34 W
2026/05/11 20:19:49.574, 14087 MiB, 16303 MiB, 99 %, 83, 161.51 W
2026/05/11 20:19:54.575, 14087 MiB, 16303 MiB, 99 %, 83, 158.93 W
2026/05/11 20:19:59.575, 14087 MiB, 16303 MiB, 99 %, 83, 159.06 W
2026/05/11 20:20:04.576, 14087 MiB, 16303 MiB, 96 %, 83, 159.02 W
2026/05/11 20:20:09.576, 14087 MiB, 16303 MiB, 99 %, 84, 159.07 W
2026/05/11 20:20:14.577, 14087 MiB, 16303 MiB, 99 %, 83, 158.93 W
2026/05/11 20:20:19.577, 14087 MiB, 16303 MiB, 99 %, 83, 158.66 W
2026/05/11 20:20:24.578, 14087 MiB, 16303 MiB, 93 %, 80, 79.31 W
2026/05/11 20:20:29.578, 14087 MiB, 16303 MiB, 91 %, 82, 171.54 W
2026/05/11 20:20:34.579, 14087 MiB, 16303 MiB, 99 %, 81, 151.52 W
2026/05/11 20:20:39.579, 14087 MiB, 16303 MiB, 99 %, 82, 158.21 W
2026/05/11 20:20:44.580, 14087 MiB, 16303 MiB, 99 %, 82, 159.14 W
2026/05/11 20:20:49.580, 14087 MiB, 16303 MiB, 99 %, 83, 158.99 W
2026/05/11 20:20:54.581, 14087 MiB, 16303 MiB, 99 %, 83, 155.63 W
2026/05/11 20:20:59.581, 14087 MiB, 16303 MiB, 99 %, 83, 161.36 W
2026/05/11 20:21:04.582, 14087 MiB, 16303 MiB, 99 %, 83, 155.33 W
2026/05/11 20:21:09.582, 14087 MiB, 16303 MiB, 96 %, 83, 159.18 W
2026/05/11 20:21:14.583, 14087 MiB, 16303 MiB, 99 %, 83, 157.34 W
2026/05/11 20:21:19.583, 14087 MiB, 16303 MiB, 99 %, 84, 157.56 W
2026/05/11 20:21:24.584, 14087 MiB, 16303 MiB, 99 %, 83, 157.10 W
2026/05/11 20:21:29.584, 14087 MiB, 16303 MiB, 99 %, 84, 163.51 W
2026/05/11 20:21:34.585, 14087 MiB, 16303 MiB, 98 %, 84, 157.99 W
2026/05/11 20:21:39.585, 14087 MiB, 16303 MiB, 99 %, 84, 159.06 W
2026/05/11 20:21:44.586, 14087 MiB, 16303 MiB, 99 %, 84, 158.82 W
2026/05/11 20:21:49.587, 14087 MiB, 16303 MiB, 99 %, 84, 159.22 W
2026/05/11 20:21:54.587, 14087 MiB, 16303 MiB, 99 %, 84, 158.71 W
2026/05/11 20:21:59.588, 14087 MiB, 16303 MiB, 96 %, 84, 159.24 W
2026/05/11 20:22:04.588, 14087 MiB, 16303 MiB, 99 %, 84, 159.53 W
2026/05/11 20:22:09.589, 14087 MiB, 16303 MiB, 93 %, 80, 78.77 W
2026/05/11 20:22:14.589, 14087 MiB, 16303 MiB, 98 %, 81, 162.36 W
2026/05/11 20:22:19.590, 14087 MiB, 16303 MiB, 99 %, 82, 159.16 W
2026/05/11 20:22:24.590, 14087 MiB, 16303 MiB, 99 %, 83, 158.38 W
2026/05/11 20:22:29.591, 14087 MiB, 16303 MiB, 99 %, 83, 160.23 W
2026/05/11 20:22:34.592, 14087 MiB, 16303 MiB, 99 %, 83, 159.64 W
2026/05/11 20:22:39.601, 14087 MiB, 16303 MiB, 99 %, 83, 158.96 W
2026/05/11 20:22:44.610, 14087 MiB, 16303 MiB, 99 %, 83, 159.06 W
2026/05/11 20:22:49.611, 14087 MiB, 16303 MiB, 99 %, 83, 158.87 W
2026/05/11 20:22:54.611, 14087 MiB, 16303 MiB, 99 %, 83, 158.99 W
2026/05/11 20:22:59.612, 14087 MiB, 16303 MiB, 99 %, 83, 158.76 W
2026/05/11 20:23:04.613, 14087 MiB, 16303 MiB, 99 %, 84, 158.79 W
2026/05/11 20:23:09.613, 14087 MiB, 16303 MiB, 98 %, 84, 157.47 W
2026/05/11 20:23:14.614, 14087 MiB, 16303 MiB, 99 %, 84, 158.33 W
2026/05/11 20:23:19.614, 14087 MiB, 16303 MiB, 99 %, 84, 158.14 W
2026/05/11 20:23:24.623, 14087 MiB, 16303 MiB, 97 %, 84, 159.17 W
2026/05/11 20:23:29.624, 14087 MiB, 16303 MiB, 99 %, 84, 151.14 W
2026/05/11 20:23:34.624, 14087 MiB, 16303 MiB, 99 %, 84, 148.81 W
2026/05/11 20:23:39.625, 14087 MiB, 16303 MiB, 97 %, 84, 159.17 W
2026/05/11 20:23:44.625, 14087 MiB, 16303 MiB, 99 %, 84, 156.92 W
2026/05/11 20:23:49.626, 14087 MiB, 16303 MiB, 99 %, 85, 157.85 W
2026/05/11 20:23:54.626, 14087 MiB, 16303 MiB, 93 %, 80, 79.49 W
2026/05/11 20:23:59.627, 14087 MiB, 16303 MiB, 99 %, 82, 156.35 W
2026/05/11 20:24:04.627, 14087 MiB, 16303 MiB, 99 %, 83, 158.98 W
2026/05/11 20:24:09.629, 14087 MiB, 16303 MiB, 99 %, 83, 156.18 W
2026/05/11 20:24:14.630, 14087 MiB, 16303 MiB, 99 %, 83, 158.66 W
2026/05/11 20:24:19.630, 14087 MiB, 16303 MiB, 99 %, 84, 158.24 W
2026/05/11 20:24:24.631, 14087 MiB, 16303 MiB, 98 %, 83, 159.61 W
2026/05/11 20:24:29.631, 14087 MiB, 16303 MiB, 99 %, 83, 158.46 W
2026/05/11 20:24:34.632, 14087 MiB, 16303 MiB, 99 %, 84, 157.92 W
2026/05/11 20:24:39.632, 14087 MiB, 16303 MiB, 98 %, 84, 159.11 W
2026/05/11 20:24:44.633, 14087 MiB, 16303 MiB, 99 %, 84, 157.94 W
2026/05/11 20:24:49.634, 14087 MiB, 16303 MiB, 99 %, 84, 157.46 W
2026/05/11 20:24:54.634, 14087 MiB, 16303 MiB, 99 %, 84, 158.39 W
