2026/05/12 00:23:04.109, 14087 MiB, 16303 MiB, 99 %, 83, 158.57 W
2026/05/12 00:23:09.109, 14087 MiB, 16303 MiB, 99 %, 83, 161.90 W
2026/05/12 00:23:14.110, 14087 MiB, 16303 MiB, 99 %, 83, 159.02 W
2026/05/12 00:23:19.110, 14087 MiB, 16303 MiB, 99 %, 83, 158.89 W
2026/05/12 00:23:24.112, 14087 MiB, 16303 MiB, 99 %, 83, 158.88 W
2026/05/12 00:23:29.113, 14087 MiB, 16303 MiB, 99 %, 83, 154.81 W
2026/05/12 00:23:34.113, 14087 MiB, 16303 MiB, 99 %, 84, 158.45 W
2026/05/12 00:23:39.123, 14087 MiB, 16303 MiB, 97 %, 84, 159.23 W
2026/05/12 00:23:44.123, 14087 MiB, 16303 MiB, 99 %, 84, 158.99 W
2026/05/12 00:23:49.132, 14087 MiB, 16303 MiB, 99 %, 84, 158.55 W
2026/05/12 00:23:54.142, 14087 MiB, 16303 MiB, 99 %, 84, 159.07 W
2026/05/12 00:23:59.142, 14087 MiB, 16303 MiB, 99 %, 84, 158.62 W
2026/05/12 00:24:04.143, 14087 MiB, 16303 MiB, 99 %, 84, 159.97 W
2026/05/12 00:24:09.143, 14087 MiB, 16303 MiB, 93 %, 80, 79.14 W
2026/05/12 00:24:14.144, 14087 MiB, 16303 MiB, 99 %, 82, 170.00 W
2026/05/12 00:24:19.145, 14087 MiB, 16303 MiB, 99 %, 82, 158.99 W
2026/05/12 00:24:24.145, 14087 MiB, 16303 MiB, 99 %, 82, 158.79 W
2026/05/12 00:24:29.146, 14087 MiB, 16303 MiB, 99 %, 82, 158.89 W
2026/05/12 00:24:34.146, 14087 MiB, 16303 MiB, 99 %, 83, 158.85 W
2026/05/12 00:24:39.147, 14087 MiB, 16303 MiB, 99 %, 83, 158.78 W
2026/05/12 00:24:44.147, 14087 MiB, 16303 MiB, 99 %, 83, 159.24 W
2026/05/12 00:24:49.148, 14087 MiB, 16303 MiB, 99 %, 84, 151.73 W
2026/05/12 00:24:54.148, 14087 MiB, 16303 MiB, 98 %, 83, 159.22 W
2026/05/12 00:24:59.149, 14087 MiB, 16303 MiB, 99 %, 84, 159.55 W
2026/05/12 00:25:04.150, 14087 MiB, 16303 MiB, 99 %, 84, 163.50 W
2026/05/12 00:25:09.150, 14087 MiB, 16303 MiB, 99 %, 84, 159.01 W
2026/05/12 00:25:14.151, 14087 MiB, 16303 MiB, 99 %, 84, 159.13 W
2026/05/12 00:25:19.151, 14087 MiB, 16303 MiB, 99 %, 84, 158.88 W
2026/05/12 00:25:24.152, 14087 MiB, 16303 MiB, 99 %, 84, 158.89 W
2026/05/12 00:25:29.152, 14087 MiB, 16303 MiB, 99 %, 84, 158.95 W
2026/05/12 00:25:34.153, 14087 MiB, 16303 MiB, 99 %, 84, 158.88 W
