2026/05/11 23:03:11.929, 14087 MiB, 16303 MiB, 99 %, 86, 158.66 W
2026/05/11 23:03:16.929, 14087 MiB, 16303 MiB, 99 %, 86, 158.97 W
2026/05/11 23:03:21.930, 14087 MiB, 16303 MiB, 99 %, 86, 159.25 W
2026/05/11 23:03:26.930, 14087 MiB, 16303 MiB, 99 %, 86, 158.82 W
2026/05/11 23:03:31.940, 14087 MiB, 16303 MiB, 99 %, 86, 158.98 W
2026/05/11 23:03:36.940, 14087 MiB, 16303 MiB, 99 %, 86, 158.78 W
2026/05/11 23:03:41.941, 14087 MiB, 16303 MiB, 99 %, 86, 158.80 W
2026/05/11 23:03:46.941, 14087 MiB, 16303 MiB, 99 %, 86, 158.94 W
2026/05/11 23:03:51.942, 14087 MiB, 16303 MiB, 99 %, 86, 158.93 W
2026/05/11 23:03:56.946, 14087 MiB, 16303 MiB, 99 %, 86, 161.52 W
2026/05/11 23:04:01.947, 14087 MiB, 16303 MiB, 99 %, 86, 158.91 W
2026/05/11 23:04:06.948, 14087 MiB, 16303 MiB, 99 %, 86, 159.20 W
2026/05/11 23:04:11.948, 14087 MiB, 16303 MiB, 0 %, 81, 133.61 W
2026/05/11 23:04:16.949, 14087 MiB, 16303 MiB, 93 %, 81, 80.04 W
2026/05/11 23:04:21.949, 14087 MiB, 16303 MiB, 99 %, 84, 159.36 W
2026/05/11 23:04:26.950, 14087 MiB, 16303 MiB, 97 %, 85, 157.07 W
2026/05/11 23:04:31.951, 14087 MiB, 16303 MiB, 99 %, 85, 159.07 W
2026/05/11 23:04:36.951, 14087 MiB, 16303 MiB, 99 %, 85, 152.32 W
2026/05/11 23:04:41.952, 14087 MiB, 16303 MiB, 99 %, 85, 158.59 W
2026/05/11 23:04:46.952, 14087 MiB, 16303 MiB, 99 %, 85, 158.33 W
2026/05/11 23:04:51.953, 14087 MiB, 16303 MiB, 96 %, 86, 158.22 W
2026/05/11 23:04:56.954, 14087 MiB, 16303 MiB, 99 %, 85, 157.86 W
2026/05/11 23:05:01.954, 14087 MiB, 16303 MiB, 99 %, 86, 159.33 W
2026/05/11 23:05:06.955, 14087 MiB, 16303 MiB, 99 %, 86, 159.66 W
2026/05/11 23:05:11.956, 14087 MiB, 16303 MiB, 99 %, 86, 157.91 W
2026/05/11 23:05:16.957, 14087 MiB, 16303 MiB, 97 %, 86, 158.33 W
2026/05/11 23:05:21.957, 14087 MiB, 16303 MiB, 99 %, 86, 153.62 W
2026/05/11 23:05:26.958, 14087 MiB, 16303 MiB, 99 %, 86, 159.01 W
2026/05/11 23:05:31.959, 14087 MiB, 16303 MiB, 99 %, 86, 158.55 W
2026/05/11 23:05:36.959, 14087 MiB, 16303 MiB, 99 %, 86, 158.98 W
2026/05/11 23:05:41.960, 14087 MiB, 16303 MiB, 97 %, 86, 148.92 W
2026/05/11 23:05:46.960, 14087 MiB, 16303 MiB, 99 %, 86, 160.26 W
2026/05/11 23:05:51.961, 14087 MiB, 16303 MiB, 99 %, 86, 159.66 W
2026/05/11 23:05:56.962, 14087 MiB, 16303 MiB, 93 %, 83, 81.48 W
2026/05/11 23:06:01.962, 14087 MiB, 16303 MiB, 99 %, 84, 171.48 W
2026/05/11 23:06:06.963, 14087 MiB, 16303 MiB, 99 %, 84, 159.54 W
2026/05/11 23:06:11.963, 14087 MiB, 16303 MiB, 98 %, 85, 158.35 W
2026/05/11 23:06:16.964, 14087 MiB, 16303 MiB, 99 %, 85, 159.20 W
2026/05/11 23:06:21.964, 14087 MiB, 16303 MiB, 99 %, 85, 159.41 W
2026/05/11 23:06:26.965, 14087 MiB, 16303 MiB, 99 %, 85, 162.74 W
2026/05/11 23:06:31.965, 14087 MiB, 16303 MiB, 99 %, 85, 157.24 W
2026/05/11 23:06:36.966, 14087 MiB, 16303 MiB, 99 %, 85, 159.31 W
2026/05/11 23:06:41.966, 14087 MiB, 16303 MiB, 98 %, 86, 158.35 W
2026/05/11 23:06:46.967, 14087 MiB, 16303 MiB, 99 %, 85, 158.83 W
2026/05/11 23:06:51.967, 14087 MiB, 16303 MiB, 99 %, 86, 158.92 W
2026/05/11 23:06:56.968, 14087 MiB, 16303 MiB, 98 %, 86, 154.97 W
2026/05/11 23:07:01.968, 14087 MiB, 16303 MiB, 99 %, 86, 159.04 W
2026/05/11 23:07:06.969, 14087 MiB, 16303 MiB, 99 %, 86, 159.35 W
2026/05/11 23:07:11.970, 14087 MiB, 16303 MiB, 99 %, 86, 158.40 W
2026/05/11 23:07:16.970, 14087 MiB, 16303 MiB, 99 %, 86, 158.49 W
