2026/05/11 22:06:38.240, 14087 MiB, 16303 MiB, 99 %, 85, 159.57 W
2026/05/11 22:06:43.240, 14087 MiB, 16303 MiB, 99 %, 85, 158.92 W
2026/05/11 22:06:48.241, 14087 MiB, 16303 MiB, 99 %, 85, 158.93 W
2026/05/11 22:06:53.241, 14087 MiB, 16303 MiB, 99 %, 85, 158.89 W
2026/05/11 22:06:58.242, 14087 MiB, 16303 MiB, 99 %, 85, 158.75 W
2026/05/11 22:07:03.251, 14087 MiB, 16303 MiB, 99 %, 85, 159.12 W
2026/05/11 22:07:08.252, 14087 MiB, 16303 MiB, 99 %, 85, 159.04 W
2026/05/11 22:07:13.252, 14087 MiB, 16303 MiB, 99 %, 85, 158.63 W
2026/05/11 22:07:18.253, 14087 MiB, 16303 MiB, 99 %, 85, 158.93 W
2026/05/11 22:07:23.254, 14087 MiB, 16303 MiB, 99 %, 86, 158.91 W
2026/05/11 22:07:28.254, 14087 MiB, 16303 MiB, 99 %, 86, 158.73 W
2026/05/11 22:07:33.255, 14087 MiB, 16303 MiB, 99 %, 85, 158.79 W
2026/05/11 22:07:38.264, 14087 MiB, 16303 MiB, 99 %, 86, 155.89 W
2026/05/11 22:07:43.265, 14087 MiB, 16303 MiB, 0 %, 80, 105.13 W
2026/05/11 22:07:48.265, 14087 MiB, 16303 MiB, 93 %, 81, 79.84 W
2026/05/11 22:07:53.266, 14087 MiB, 16303 MiB, 99 %, 83, 159.29 W
2026/05/11 22:07:58.270, 14087 MiB, 16303 MiB, 99 %, 84, 160.34 W
2026/05/11 22:08:03.280, 14087 MiB, 16303 MiB, 99 %, 84, 158.92 W
2026/05/11 22:08:08.281, 14087 MiB, 16303 MiB, 99 %, 85, 160.00 W
2026/05/11 22:08:13.290, 14087 MiB, 16303 MiB, 99 %, 85, 158.80 W
2026/05/11 22:08:18.291, 14087 MiB, 16303 MiB, 99 %, 85, 159.06 W
2026/05/11 22:08:23.291, 14087 MiB, 16303 MiB, 99 %, 85, 158.70 W
2026/05/11 22:08:28.292, 14087 MiB, 16303 MiB, 99 %, 85, 158.71 W
2026/05/11 22:08:33.292, 14087 MiB, 16303 MiB, 99 %, 85, 158.49 W
2026/05/11 22:08:38.293, 14087 MiB, 16303 MiB, 97 %, 86, 158.15 W
2026/05/11 22:08:43.293, 14087 MiB, 16303 MiB, 99 %, 85, 158.95 W
2026/05/11 22:08:48.294, 14087 MiB, 16303 MiB, 99 %, 85, 158.65 W
2026/05/11 22:08:53.294, 14087 MiB, 16303 MiB, 97 %, 86, 158.14 W
2026/05/11 22:08:58.295, 14087 MiB, 16303 MiB, 99 %, 86, 159.08 W
2026/05/11 22:09:03.295, 14087 MiB, 16303 MiB, 99 %, 86, 158.38 W
2026/05/11 22:09:08.296, 14087 MiB, 16303 MiB, 98 %, 86, 157.35 W
2026/05/11 22:09:13.296, 14087 MiB, 16303 MiB, 99 %, 86, 159.09 W
2026/05/11 22:09:18.297, 14087 MiB, 16303 MiB, 99 %, 86, 158.28 W
2026/05/11 22:09:23.297, 14087 MiB, 16303 MiB, 99 %, 86, 158.29 W
2026/05/11 22:09:28.298, 14087 MiB, 16303 MiB, 93 %, 83, 98.06 W
2026/05/11 22:09:33.298, 14087 MiB, 16303 MiB, 93 %, 81, 79.50 W
2026/05/11 22:09:38.299, 14087 MiB, 16303 MiB, 99 %, 84, 155.29 W
2026/05/11 22:09:43.299, 14087 MiB, 16303 MiB, 99 %, 84, 159.13 W
2026/05/11 22:09:48.300, 14087 MiB, 16303 MiB, 99 %, 84, 158.16 W
2026/05/11 22:09:53.300, 14087 MiB, 16303 MiB, 97 %, 85, 158.19 W
2026/05/11 22:09:58.301, 14087 MiB, 16303 MiB, 99 %, 85, 158.95 W
2026/05/11 22:10:03.301, 14087 MiB, 16303 MiB, 99 %, 85, 157.21 W
2026/05/11 22:10:08.302, 14087 MiB, 16303 MiB, 97 %, 86, 158.08 W
